,Unnamed: 0,French,English
0,0,partie,part
1,2,seulement,only
2,3,police,police
3,4,pensais,thought
4,5,genre,kind
5,6,mois,month
6,7,frère,brother
7,10,aucun,no
8,11,ville,city
9,12,chaque,each
10,13,arrivé,come
11,14,longtemps,long time
12,15,aucune,any
13,16,place,square
14,18,étaient,were
15,19,attention,Warning
16,20,voici,here is
17,21,affaire,case
18,22,donner,give
19,23,type,type
20,24,leurs,their
21,25,donné,given
22,26,train,train
23,27,corps,body
24,29,yeux,eyes
25,30,façon,way
26,31,trouve,find
27,32,premier,first
28,33,perdu,lost
29,34,main,hand
30,35,première,first
31,36,côté,side
32,37,vieux,old
33,38,tiens,here
34,39,matin,morning
35,40,point,point
36,41,venu,came
37,42,suite,after
38,43,pardon,sorry
39,45,devant,in front of
40,46,vers,towards
41,48,belle,beautiful
42,49,mari,husband
43,50,cause,cause
44,51,espère,hope
45,52,attendez,Wait
46,53,parti,left
47,54,nouvelle,new
48,55,boulot,job
49,56,arrêter,Stop
50,57,dirait,would say
51,58,terre,Earth
52,60,loin,far
53,61,fin,end
54,62,croire,believe
55,63,chérie,sweetheart
56,64,gros,large
57,65,plutôt,rather
